fold,5H - 5D
fold,10C - 3C
fold,8S - 5H
call,6S - 2C
fold,QC - 6C
fold,10H - 4S
fold,5S - 6D
fold,9C - 9H
raise,5C - AC
fold,5C - AC
fold,JS - 4S
fold,AS - KC
raise,10D - JS
fold,10D - JS
fold,QH - 9D
fold,KD - 6C
fold,KS - 9C
fold,10C - AH
call,4S - 10S
raise,10C - 9C
fold,7C - KS
fold,8C - 9D
fold,7C - 9D
fold,3D - KH
fold,8D - 7S
fold,2S - 8D
fold,8C - 2S
fold,5C - 5H
raise,JS - AH
fold,6C - 3S
fold,9H - AD
fold,3S - 5S
fold,4H - QS
fold,6S - 8S
fold,10S - JH
fold,KC - 6D
fold,JD - 5D
call,6H - 5D
fold,6H - 5D
fold,5C - KC
fold,6H - 3H
fold,8C - 7H
call,7S - KH
call,KH - JH
fold,JC - JH
fold,7S - JS
fold,7C - 10C
fold,2D - 4C
fold,8C - 10C
fold,8H - QS
fold,5D - 9H
call,KS - 10S
fold,3C - 8C
fold,7S - QH
fold,3S - 9D
call,JD - 10S
fold,9D - 10S
fold,5D - 3D
fold,2D - 6D
fold,10H - KS
fold,3H - 2S
fold,6S - AD
fold,6S - JS
fold,9C - AS
raise,AC - AH
raise,AC - AH
fold,JD - 7S
fold,6S - AC
fold,4C - 6D
call,4C - 6H
fold,4C - 6H
call,AD - 2D
call,KH - JH
fold,7D - QD
raise,KS - JH
fold,JC - 7S
fold,6H - JD
call,2D - 2H
fold,KD - 8S
fold,6C - 5H
fold,10S - 7S
call,KH - 2S
fold,4H - JS
fold,2S - QS
fold,10S - 9D
fold,2H - 6H
call,2H - KC
fold,5H - KH
fold,5S - AD
fold,KD - 2C
fold,4S - 9C
fold,KD - 4D
fold,8H - QD
fold,9D - 6D
fold,KH - 6H
fold,7C - 4S
raise,JD - 10C
fold,JD - 10C
fold,QD - 2C
fold,JH - 5D
fold,9S - 4C
fold,5C - QD
fold,6S - 6H
fold,4H - KH
call,JC - 9D
fold,5C - 9C
call,8D - JC
fold,8D - JC
raise,QD - KS
fold,4S - 10S
raise,AH - QH
call,9C - 8C
fold,9C - 4S
fold,4S - 5C
fold,7H - 2S
fold,KS - 3H
fold,7D - 7C
fold,JS - 6H
call,KS - 3D
fold,KS - 3D
fold,10H - 2C
fold,8S - 7D
fold,8S - 4D
call,KH - 10H
fold,4H - 3C
fold,KD - 9H
fold,8H - 6D
fold,3D - 3C
fold,7H - 6S
fold,JD - 9C
raise,KS - KH
fold,4S - 7S
fold,QH - 8D
raise,2C - AC
call,6S - 3H
raise,KD - JS
fold,7D - 2S
raise,5H - 6H
fold,5C - QH
fold,KH - 8S
call,4D - 8H
fold,6D - 5H
fold,6D - 7H
fold,5S - 8D
raise,QH - QD
raise,QH - QD
fold,5S - 6H
fold,KS - 7H
fold,KC - 5C
fold,10S - JD
raise,QC - 9C
fold,QC - 9C
fold,KS - 9D
call,7D - QS
call,JD - AD
call,JH - JD
fold,9C - KH
fold,10D - QC
fold,9H - 10C
fold,2C - JS
fold,JC - 6S
fold,JD - 5S
fold,4S - AD
call,4C - 8H
fold,3C - 8C
raise,KH - QD
raise,KH - QD
raise,QC - QS
fold,6C - 4H
fold,5D - 9C
fold,2D - KS
raise,JS - 10D
fold,JS - 10D
fold,2D - 2S
fold,3S - KS
fold,6S - 2H
fold,3C - 5C
fold,10C - 3S
fold,KS - 6S
fold,QD - 2D
fold,3H - 9C
call,KD - 6D
fold,5D - 7S
fold,AH - 7C
fold,7S - 2C
fold,10S - 5D
fold,10D - AC
fold,9D - 5S
fold,7H - 9S
fold,9H - 6C
fold,JH - KC
raise,AC - 10C
fold,2S - 5C
fold,KC - 2S
fold,3D - KD
fold,4C - 7D
fold,6S - 2H
fold,9D - 4D
fold,7D - 10S
fold,7C - JC
fold,3H - QS
fold,QC - 8H
raise,8H - 9H
fold,KH - 7D
fold,7H - 10S
fold,JC - 10S
raise,JD - QD
fold,JD - QD
fold,QD - 9D
fold,4S - 3H
fold,6S - 2H
raise,10C - 10D
call,8S - 10D
fold,KS - 2C
raise,10S - JD
call,JH - KS
fold,4C - 8H
fold,3H - QH
fold,4C - AD
fold,2C - 10D
fold,6H - 3H
fold,4S - 2D
fold,AC - 3C
call,10H - JS
fold,8S - 3S
fold,2C - JD
fold,8C - 3H
call,6D - 7D
fold,4D - JH
call,JD - QH
call,JD - QH
fold,JS - 6H
fold,KH - 5H
fold,6C - 4S
fold,5D - 9H
fold,2H - 9S
fold,6C - QS
raise,AC - JC
raise,AC - JC
fold,7S - JC
fold,2H - 9C
fold,JC - QD
fold,5C - 6S
fold,7S - JH
raise,KS - QD
raise,KS - QD
call,7S - 4C
fold,KD - 7C
fold,5H - 10H
call,KD - QH
raise,KD - QH
call,10D - QD
fold,6D - 5S
raise,AD - 10H
fold,JS - QH
fold,7S - 2H
fold,3S - 9D
fold,QD - 7D
fold,5S - KC
fold,6S - 8S
fold,3H - 7H
fold,5H - 5C
call,8D - QD
fold,6H - 3C
fold,9H - QS
call,AC - JS
call,AH - 4H
call,8D - 8C
fold,6D - 4D
fold,7D - JS
fold,7C - QD
fold,5D - KC
call,10D - 10H
fold,2D - QS
fold,9C - QH
raise,QS - KC
fold,10C - 4D
fold,2C - 2S
fold,10C - 5H
call,3D - 7H
fold,6H - 9H
fold,5H - QH
